 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.152E+01     0.311E-04    -0.372E-04     0.438E-04    -0.209E-04
    -0.151E+01     0.310E-04    -0.371E-04     0.441E-04    -0.197E-04
    -0.151E+01     0.309E-04    -0.370E-04     0.445E-04    -0.185E-04
    -0.150E+01     0.308E-04    -0.369E-04     0.448E-04    -0.173E-04
    -0.149E+01     0.307E-04    -0.368E-04     0.450E-04    -0.161E-04
    -0.149E+01     0.306E-04    -0.367E-04     0.453E-04    -0.149E-04
    -0.148E+01     0.305E-04    -0.365E-04     0.455E-04    -0.136E-04
    -0.147E+01     0.304E-04    -0.364E-04     0.457E-04    -0.124E-04
    -0.147E+01     0.303E-04    -0.363E-04     0.458E-04    -0.111E-04
    -0.146E+01     0.302E-04    -0.361E-04     0.460E-04    -0.978E-05
    -0.145E+01     0.300E-04    -0.359E-04     0.460E-04    -0.846E-05
    -0.145E+01     0.299E-04    -0.358E-04     0.461E-04    -0.712E-05
    -0.144E+01     0.298E-04    -0.356E-04     0.461E-04    -0.575E-05
