 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.181E+01     0.783E-04    -0.194E-03    -0.751E-04     0.121E-03
    -0.180E+01     0.801E-04    -0.191E-03    -0.692E-04     0.118E-03
    -0.179E+01     0.818E-04    -0.189E-03    -0.638E-04     0.115E-03
    -0.179E+01     0.833E-04    -0.190E-03    -0.590E-04     0.113E-03
    -0.178E+01     0.846E-04    -0.193E-03    -0.549E-04     0.111E-03
    -0.177E+01     0.855E-04    -0.199E-03    -0.516E-04     0.110E-03
    -0.177E+01     0.862E-04    -0.205E-03    -0.492E-04     0.109E-03
    -0.176E+01     0.866E-04    -0.214E-03    -0.476E-04     0.110E-03
    -0.175E+01     0.866E-04    -0.223E-03    -0.468E-04     0.111E-03
    -0.175E+01     0.863E-04    -0.232E-03    -0.469E-04     0.114E-03
    -0.174E+01     0.858E-04    -0.242E-03    -0.477E-04     0.117E-03
    -0.173E+01     0.850E-04    -0.252E-03    -0.491E-04     0.121E-03
    -0.173E+01     0.840E-04    -0.261E-03    -0.509E-04     0.125E-03
    -0.172E+01     0.829E-04    -0.268E-03    -0.531E-04     0.131E-03
    -0.171E+01     0.816E-04    -0.274E-03    -0.554E-04     0.136E-03
    -0.171E+01     0.803E-04    -0.278E-03    -0.576E-04     0.142E-03
    -0.170E+01     0.790E-04    -0.281E-03    -0.597E-04     0.147E-03
    -0.170E+01     0.777E-04    -0.280E-03    -0.613E-04     0.153E-03
    -0.169E+01     0.765E-04    -0.278E-03    -0.624E-04     0.158E-03
    -0.168E+01     0.755E-04    -0.273E-03    -0.628E-04     0.162E-03
    -0.168E+01     0.747E-04    -0.266E-03    -0.623E-04     0.166E-03
    -0.167E+01     0.740E-04    -0.257E-03    -0.608E-04     0.168E-03
    -0.166E+01     0.736E-04    -0.247E-03    -0.583E-04     0.170E-03
    -0.166E+01     0.733E-04    -0.235E-03    -0.547E-04     0.170E-03
    -0.165E+01     0.733E-04    -0.222E-03    -0.501E-04     0.169E-03
    -0.164E+01     0.734E-04    -0.209E-03    -0.444E-04     0.167E-03
    -0.164E+01     0.737E-04    -0.196E-03    -0.379E-04     0.163E-03
    -0.163E+01     0.741E-04    -0.184E-03    -0.305E-04     0.158E-03
    -0.162E+01     0.746E-04    -0.172E-03    -0.224E-04     0.152E-03
    -0.162E+01     0.751E-04    -0.162E-03    -0.139E-04     0.146E-03
    -0.161E+01     0.755E-04    -0.154E-03    -0.506E-05     0.138E-03
    -0.160E+01     0.759E-04    -0.148E-03     0.381E-05     0.131E-03
    -0.160E+01     0.761E-04    -0.144E-03     0.125E-04     0.123E-03
    -0.159E+01     0.761E-04    -0.142E-03     0.208E-04     0.115E-03
    -0.158E+01     0.758E-04    -0.143E-03     0.285E-04     0.108E-03
    -0.158E+01     0.753E-04    -0.147E-03     0.353E-04     0.101E-03
    -0.157E+01     0.744E-04    -0.153E-03     0.411E-04     0.956E-04
    -0.156E+01     0.732E-04    -0.160E-03     0.458E-04     0.912E-04
    -0.156E+01     0.717E-04    -0.170E-03     0.491E-04     0.881E-04
    -0.155E+01     0.698E-04    -0.180E-03     0.511E-04     0.867E-04
    -0.154E+01     0.676E-04    -0.192E-03     0.517E-04     0.869E-04
    -0.154E+01     0.652E-04    -0.204E-03     0.509E-04     0.888E-04
    -0.153E+01     0.625E-04    -0.215E-03     0.488E-04     0.925E-04
    -0.152E+01     0.596E-04    -0.226E-03     0.455E-04     0.978E-04
    -0.152E+01     0.565E-04    -0.236E-03     0.411E-04     0.105E-03
    -0.151E+01     0.534E-04    -0.244E-03     0.359E-04     0.113E-03
    -0.151E+01     0.503E-04    -0.250E-03     0.301E-04     0.122E-03
    -0.150E+01     0.472E-04    -0.254E-03     0.239E-04     0.132E-03
    -0.149E+01     0.442E-04    -0.256E-03     0.175E-04     0.143E-03
    -0.149E+01     0.414E-04    -0.255E-03     0.114E-04     0.153E-03
    -0.148E+01     0.387E-04    -0.251E-03     0.580E-05     0.164E-03
    -0.147E+01     0.364E-04    -0.245E-03     0.937E-06     0.174E-03
    -0.147E+01     0.343E-04    -0.236E-03    -0.290E-05     0.183E-03
    -0.146E+01     0.325E-04    -0.226E-03    -0.548E-05     0.191E-03
    -0.145E+01     0.310E-04    -0.214E-03    -0.660E-05     0.197E-03
    -0.145E+01     0.297E-04    -0.201E-03    -0.611E-05     0.202E-03
    -0.144E+01     0.288E-04    -0.187E-03    -0.391E-05     0.204E-03
    -0.143E+01     0.280E-04    -0.172E-03     0.637E-07     0.204E-03
    -0.143E+01     0.275E-04    -0.158E-03     0.579E-05     0.202E-03
    -0.142E+01     0.271E-04    -0.145E-03     0.132E-04     0.198E-03
    -0.141E+01     0.267E-04    -0.134E-03     0.222E-04     0.191E-03
    -0.141E+01     0.264E-04    -0.124E-03     0.326E-04     0.183E-03
    -0.140E+01     0.260E-04    -0.116E-03     0.441E-04     0.173E-03
    -0.139E+01     0.255E-04    -0.111E-03     0.565E-04     0.161E-03
    -0.139E+01     0.248E-04    -0.108E-03     0.695E-04     0.148E-03
    -0.138E+01     0.239E-04    -0.108E-03     0.828E-04     0.134E-03
    -0.137E+01     0.227E-04    -0.111E-03     0.959E-04     0.120E-03
    -0.137E+01     0.212E-04    -0.117E-03     0.108E-03     0.106E-03
    -0.136E+01     0.194E-04    -0.125E-03     0.120E-03     0.927E-04
    -0.135E+01     0.172E-04    -0.135E-03     0.131E-03     0.803E-04
    -0.135E+01     0.147E-04    -0.146E-03     0.140E-03     0.693E-04
    -0.134E+01     0.119E-04    -0.159E-03     0.147E-03     0.602E-04
    -0.134E+01     0.881E-05    -0.172E-03     0.153E-03     0.533E-04
    -0.133E+01     0.547E-05    -0.186E-03     0.156E-03     0.488E-04
    -0.132E+01     0.195E-05    -0.199E-03     0.157E-03     0.471E-04
    -0.132E+01    -0.169E-05    -0.210E-03     0.155E-03     0.482E-04
    -0.131E+01    -0.538E-05    -0.221E-03     0.151E-03     0.521E-04
    -0.130E+01    -0.905E-05    -0.229E-03     0.145E-03     0.590E-04
    -0.130E+01    -0.126E-04    -0.234E-03     0.137E-03     0.686E-04
    -0.129E+01    -0.160E-04    -0.237E-03     0.127E-03     0.807E-04
    -0.128E+01    -0.192E-04    -0.237E-03     0.116E-03     0.950E-04
    -0.128E+01    -0.221E-04    -0.234E-03     0.103E-03     0.111E-03
    -0.127E+01    -0.247E-04    -0.228E-03     0.892E-04     0.129E-03
    -0.126E+01    -0.269E-04    -0.219E-03     0.751E-04     0.148E-03
    -0.126E+01    -0.288E-04    -0.208E-03     0.610E-04     0.167E-03
    -0.125E+01    -0.302E-04    -0.195E-03     0.474E-04     0.186E-03
    -0.124E+01    -0.313E-04    -0.180E-03     0.346E-04     0.204E-03
    -0.124E+01    -0.321E-04    -0.164E-03     0.231E-04     0.222E-03
    -0.123E+01    -0.325E-04    -0.147E-03     0.133E-04     0.238E-03
