psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
3.406813630E-01    1.155953910E+21    1.155953910E+21    7.618947370E+01    7.618947370E+01    2.610242480E+03 
3.426853710E-01    1.153824520E+21    1.153824520E+21    7.609807540E+01    7.609807540E+01    2.602308622E+03 
3.446893790E-01    1.151695130E+21    1.151695130E+21    7.600633910E+01    7.600633910E+01    2.594374748E+03 
3.466933870E-01    1.149565740E+21    1.149565740E+21    7.591426300E+01    7.591426300E+01    2.586440874E+03 
3.486973950E-01    1.147436350E+21    1.147436350E+21    7.582184520E+01    7.582184520E+01    2.578507016E+03 
3.507014030E-01    1.145306960E+21    1.145306960E+21    7.572908370E+01    7.572908370E+01    2.570573143E+03 
3.527054110E-01    1.143177580E+21    1.143177580E+21    7.563597660E+01    7.563597660E+01    2.562639285E+03 
3.547094190E-01    1.141048190E+21    1.141048190E+21    7.554252200E+01    7.554252200E+01    2.554705411E+03 
3.567134270E-01    1.138918800E+21    1.138918800E+21    7.544871790E+01    7.544871790E+01    2.546771537E+03 
3.587174350E-01    1.136789410E+21    1.136789410E+21    7.535456250E+01    7.535456250E+01    2.538837679E+03 
3.607214430E-01    1.134660020E+21    1.134660020E+21    7.526005360E+01    7.526005360E+01    2.530903805E+03 
3.627254510E-01    1.132530630E+21    1.132530630E+21    7.516518940E+01    7.516518940E+01    2.522969947E+03 
3.647294590E-01    1.130401240E+21    1.130401240E+21    7.506996770E+01    7.506996770E+01    2.515036073E+03 
3.667334670E-01    1.128271850E+21    1.128271850E+21    7.497438660E+01    7.497438660E+01    2.507102199E+03 
3.687374750E-01    1.126142460E+21    1.126142460E+21    7.487844410E+01    7.487844410E+01    2.499168341E+03 
3.707414830E-01    1.124013080E+21    1.124013080E+21    7.478213800E+01    7.478213800E+01    2.491234467E+03 
3.727454910E-01    1.121883690E+21    1.121883690E+21    7.468546640E+01    7.468546640E+01    2.483300593E+03 
3.747494990E-01    1.119754300E+21    1.119754300E+21    7.458842710E+01    7.458842710E+01    2.475366735E+03 
3.767535070E-01    1.117624910E+21    1.117624910E+21    7.449101800E+01    7.449101800E+01    2.467432877E+03 
3.787575150E-01    1.115495520E+21    1.115495520E+21    7.439323700E+01    7.439323700E+01    2.459499003E+03 
3.807615230E-01    1.113366130E+21    1.113366130E+21    7.429508200E+01    7.429508200E+01    2.451565129E+03 
3.827655310E-01    1.111236740E+21    1.111236740E+21    7.419655080E+01    7.419655080E+01    2.443631255E+03 
3.847695390E-01    1.109107350E+21    1.109107350E+21    7.409764130E+01    7.409764130E+01    2.435697397E+03 
3.867735470E-01    1.106977970E+21    1.106977970E+21    7.399835120E+01    7.399835120E+01    2.427763523E+03 
3.887775550E-01    1.104848580E+21    1.104848580E+21    7.389867840E+01    7.389867840E+01    2.419829665E+03 
3.907815630E-01    1.102719190E+21    1.102719190E+21    7.379862070E+01    7.379862070E+01    2.411895792E+03 
3.927855710E-01    1.100589800E+21    1.100589800E+21    7.369817580E+01    7.369817580E+01    2.403961918E+03 
3.947895790E-01    1.098460410E+21    1.098460410E+21    7.359734150E+01    7.359734150E+01    2.396028060E+03 
3.967935870E-01    1.096331020E+21    1.096331020E+21    7.349611540E+01    7.349611540E+01    2.388094186E+03 
3.987975950E-01    1.094201630E+21    1.094201630E+21    7.339449540E+01    7.339449540E+01    2.380160328E+03 
4.008016030E-01    1.092072240E+21    1.092072240E+21    7.329247910E+01    7.329247910E+01    2.372226454E+03 
4.028056110E-01    1.089942860E+21    1.089942860E+21    7.319006420E+01    7.319006420E+01    2.364292596E+03 
4.048096190E-01    1.087813470E+21    1.087813470E+21    7.308724830E+01    7.308724830E+01    2.356358722E+03 
4.068136270E-01    1.085684080E+21    1.085684080E+21    7.298402910E+01    7.298402910E+01    2.348424848E+03 
4.088176350E-01    1.083554690E+21    1.083554690E+21    7.288040430E+01    7.288040430E+01    2.340490974E+03 
4.108216430E-01    1.081425300E+21    1.081425300E+21    7.277637130E+01    7.277637130E+01    2.332557116E+03 
4.128256510E-01    1.079295910E+21    1.079295910E+21    7.267192780E+01    7.267192780E+01    2.324623242E+03 
4.148296590E-01    1.077166520E+21    1.077166520E+21    7.256707140E+01    7.256707140E+01    2.316689384E+03 
4.168336670E-01    1.075037130E+21    1.075037130E+21    7.246179970E+01    7.246179970E+01    2.308755510E+03 
4.188376750E-01    1.072907750E+21    1.072907750E+21    7.235611000E+01    7.235611000E+01    2.300821636E+03 
4.208416830E-01    1.070778360E+21    1.070778360E+21    7.225000000E+01    7.225000000E+01    2.292887778E+03 
4.228456910E-01    1.068648970E+21    1.068648970E+21    7.214346710E+01    7.214346710E+01    2.284953904E+03 
