

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          6.011724844E-04          7.757637662E-05          3.399012020E-06          2.314733379E-07          1.855413293E-08          1.459805452E-08          2.183318601E-09          6.330708604E-10          2.252702510E-10
          6.120594707E-04          7.850030505E-05          3.466022967E-06          2.304125814E-07          1.842886718E-08          1.481176616E-08          2.175290869E-09          6.514562658E-10          2.263299497E-10
          6.229464570E-04          7.940450657E-05          3.533033989E-06          2.292686679E-07          1.830434233E-08          1.502133422E-08          2.167484233E-09          6.696377894E-10          2.272442453E-10
          6.338334433E-04          8.028966509E-05          3.600046100E-06          2.280489378E-07          1.818025506E-08          1.522630272E-08          2.159909973E-09          6.876821136E-10          2.280266855E-10
          6.447204297E-04          8.115648838E-05          3.667059801E-06          2.267610948E-07          1.805634106E-08          1.542618849E-08          2.152573601E-09          7.056524273E-10          2.286894671E-10
          6.556074160E-04          8.200570761E-05          3.734075092E-06          2.254131896E-07          1.793237575E-08          1.562048429E-08          2.145474982E-09          7.236091092E-10          2.292443991E-10
          6.664944023E-04          8.283807681E-05          3.801091493E-06          2.240136030E-07          1.780817480E-08          1.580866216E-08          2.138608887E-09          7.416094602E-10          2.297023284E-10
          6.773813886E-04          8.365437237E-05          3.868108054E-06          2.225710293E-07          1.768359465E-08          1.599017632E-08          2.131965214E-09          7.597080605E-10          2.300736337E-10
          6.882683750E-04          8.445539241E-05          3.935123370E-06          2.210944601E-07          1.755853292E-08          1.616446598E-08          2.125529359E-09          7.779567000E-10          2.303679714E-10
          6.991553613E-04          8.524195615E-05          4.002135590E-06          2.195931677E-07          1.743292872E-08          1.633095796E-08          2.119282462E-09          7.964045687E-10          2.305945201E-10
          6.992553613E-04          8.524911597E-05          4.002751094E-06          2.195792921E-07          1.743177238E-08          1.633244893E-08          2.119225897E-09          7.965750969E-10          2.305963114E-10
          6.993553613E-04          8.525627464E-05          4.003366598E-06          2.195654152E-07          1.743061599E-08          1.633393919E-08          2.119169346E-09          7.967456458E-10          2.305980977E-10
          7.017626661E-04          8.542827544E-05          4.018183521E-06          2.192310144E-07          1.740276440E-08          1.636960789E-08          2.117811992E-09          8.008574464E-10          2.306396795E-10
          7.041699710E-04          8.559962013E-05          4.033000154E-06          2.188959792E-07          1.737488519E-08          1.640486050E-08          2.116462496E-09          8.049817373E-10          2.306784639E-10
          7.065772759E-04          8.577031757E-05          4.047816473E-06          2.185604086E-07          1.734697839E-08          1.643969138E-08          2.115120603E-09          8.091189138E-10          2.307145357E-10
          7.157969619E-04          8.641822786E-05          4.104557860E-06          2.172718563E-07          1.723984513E-08          1.656910537E-08          2.110047431E-09          8.250880119E-10          2.308289228E-10
          7.250166479E-04          8.705724790E-05          4.161292939E-06          2.159819757E-07          1.713231581E-08          1.669200565E-08          2.105068412E-09          8.412640343E-10          2.309088827E-10
          7.342363339E-04          8.768781734E-05          4.218020503E-06          2.146953248E-07          1.702440263E-08          1.680820319E-08          2.100170928E-09          8.576525510E-10          2.309579817E-10
          7.434560199E-04          8.831035578E-05          4.274739423E-06          2.134160976E-07          1.691612160E-08          1.691755611E-08          2.095343004E-09          8.742535546E-10          2.309793792E-10
          7.548185005E-04          8.906711838E-05          4.344627255E-06          2.118553404E-07          1.678219911E-08          1.704277976E-08          2.089472092E-09          8.949951272E-10          2.309715753E-10
          7.661809811E-04          8.981297206E-05          4.414498624E-06          2.103178288E-07          1.664779404E-08          1.715739594E-08          2.083670475E-09          9.160284467E-10          2.309299336E-10
          7.775434617E-04          9.054855954E-05          4.484351940E-06          2.088090795E-07          1.651295659E-08          1.726140442E-08          2.077920373E-09          9.373249369E-10          2.308579228E-10
          7.889059423E-04          9.127447838E-05          4.554185773E-06          2.073339013E-07          1.637774211E-08          1.735487895E-08          2.072205547E-09          9.588490778E-10          2.307583223E-10
          8.002684229E-04          9.199128444E-05          4.623998837E-06          2.058964991E-07          1.624220846E-08          1.743794314E-08          2.066511250E-09          9.805631006E-10          2.306334421E-10
          8.169722027E-04          9.302957942E-05          4.726589684E-06          2.038594928E-07          1.604251111E-08          1.754152952E-08          2.058149664E-09          1.012741489E-09          2.304076744E-10
          8.336759825E-04          9.405079208E-05          4.829130014E-06          2.019214748E-07          1.584245366E-08          1.762370374E-08          2.049766391E-09          1.045103251E-09          2.301354430E-10
          8.503797623E-04          9.505627432E-05          4.931617154E-06          2.000900332E-07          1.564223765E-08          1.768530415E-08          2.041329476E-09          1.077507560E-09          2.298196250E-10
          8.670835420E-04          9.604724174E-05          5.034048884E-06          1.983710243E-07          1.544206359E-08          1.772726157E-08          2.032812050E-09          1.109818166E-09          2.294620911E-10
          8.837873218E-04          9.702478817E-05          5.136423374E-06          1.967688308E-07          1.524212855E-08          1.775057293E-08          2.024191717E-09          1.141902663E-09          2.290638623E-10
          9.004911016E-04          9.798989764E-05          5.238739148E-06          1.952865700E-07          1.504262390E-08          1.775627481E-08          2.015450208E-09          1.173638008E-09          2.286254166E-10
          9.297067466E-04          9.965062665E-05          5.417549410E-06          1.929879946E-07          1.469526364E-08          1.772708984E-08          1.999827400E-09          1.227965242E-09          2.277617976E-10
          9.589223916E-04          1.012800811E-04          5.596172260E-06          1.910667712E-07          1.435069392E-08          1.765291104E-08          1.983735222E-09          1.280339045E-09          2.267735878E-10
