
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  314  1.603E-03  9.509E-06  1.436E+00  5.639E-01  9.898E-02
  315  1.613E-03  9.509E-06  1.436E+00  5.639E-01  9.960E-02
  316  1.622E-03  9.509E-06  1.436E+00  5.638E-01  1.002E-01
  317  1.632E-03  9.509E-06  1.436E+00  5.638E-01  1.009E-01
  318  1.647E-03  1.497E-05  1.436E+00  5.638E-01  1.018E-01
  319  1.662E-03  1.497E-05  1.436E+00  5.638E-01  1.028E-01
  320  1.677E-03  1.497E-05  1.436E+00  5.638E-01  1.038E-01
  321  1.692E-03  1.497E-05  1.436E+00  5.638E-01  1.048E-01
  322  1.707E-03  1.497E-05  1.436E+00  5.637E-01  1.058E-01
  323  1.726E-03  1.893E-05  1.436E+00  5.637E-01  1.070E-01
  324  1.745E-03  1.893E-05  1.436E+00  5.637E-01  1.083E-01
  325  1.763E-03  1.893E-05  1.436E+00  5.637E-01  1.095E-01
  326  1.782E-03  1.893E-05  1.436E+00  5.636E-01  1.107E-01
  327  1.801E-03  1.893E-05  1.436E+00  5.636E-01  1.120E-01
  328  1.820E-03  1.893E-05  1.436E+00  5.636E-01  1.132E-01
  329  1.849E-03  2.871E-05  1.436E+00  5.636E-01  1.151E-01
  330  1.878E-03  2.871E-05  1.436E+00  5.635E-01  1.170E-01
  331  1.906E-03  2.871E-05  1.437E+00  5.635E-01  1.189E-01
  332  1.935E-03  2.871E-05  1.437E+00  5.634E-01  1.208E-01
  333  1.964E-03  2.871E-05  1.437E+00  5.634E-01  1.227E-01
  334  1.993E-03  2.871E-05  1.437E+00  5.634E-01  1.245E-01
  335  2.021E-03  2.871E-05  1.437E+00  5.633E-01  1.264E-01
  336  2.050E-03  2.871E-05  1.437E+00  5.633E-01  1.283E-01
  337  2.079E-03  2.871E-05  1.437E+00  5.633E-01  1.302E-01
  338  2.107E-03  2.871E-05  1.437E+00  5.632E-01  1.321E-01
  339  2.136E-03  2.871E-05  1.437E+00  5.632E-01  1.340E-01
  340  2.165E-03  2.871E-05  1.437E+00  5.632E-01  1.358E-01
  341  2.197E-03  3.255E-05  1.437E+00  5.631E-01  1.380E-01
