 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   2.02813604E-02   15  -4.95630018E-07  -6.61046091E-07   1.45296219E-06   1.85171906E-06
   2.02813604E-02   16  -6.31714613E-07  -4.96401872E-07   1.41592975E-06   1.59531829E-06
   2.02813604E-02   17  -3.51747901E-07  -4.29413783E-07   9.81215088E-07   1.21362389E-06
   2.02813604E-02   18  -3.28323111E-07  -3.24053032E-07   8.31180953E-07   9.35629802E-07
   2.02813604E-02   19  -1.71161767E-07  -2.04675608E-07   4.85862464E-07   4.67558810E-07
   2.02813604E-02   20  -1.08120190E-08  -3.56857908E-08  -1.52266025E-06  -1.40308555E-06
   2.41376325E-02  -12   1.73078125E-07  -1.49029951E-07  -4.15068210E-07   2.72186105E-07
   2.41376325E-02  -11   1.65831082E-07  -1.05343301E-07  -4.46880561E-07  -6.54901745E-09
   2.41376325E-02  -10   6.09805989E-07   4.70588397E-07  -1.20752871E-06  -9.27737146E-07
   2.41376325E-02   -9   4.25250455E-07   9.67153217E-08  -1.30320524E-06  -6.50782437E-07
   2.41376325E-02   -8   1.03207288E-06   1.07172054E-06  -2.00469701E-06  -2.07678609E-06
   2.41376325E-02   -7   6.98143482E-07   1.03750653E-07  -2.43618165E-06  -1.02124964E-06
   2.41376325E-02   -6   1.19210680E-06   2.50876446E-06  -2.00486117E-06  -4.85815195E-06
   2.41376325E-02   -5   1.93421239E-07  -6.99691969E-07  -2.10523918E-06  -1.38518576E-07
   2.41376325E-02   -4   2.06754018E-07   6.40243655E-06   1.09976869E-06  -1.28000860E-05
   2.41376325E-02   -3  -6.11190862E-07  -8.49117004E-07  -1.05536074E-06  -3.81181551E-08
   2.41376325E-02   -2  -3.70568030E-06   7.86754868E-06   1.31111651E-05  -2.63596657E-05
   2.41376325E-02   -1  -9.58075253E-06   3.43059851E-05  -5.72017367E-05   5.55895838E-05
   2.41376325E-02    0   1.14652187E-03  -1.82123616E-03  -1.72074086E-03   2.64318155E-03
   2.41376325E-02    1   1.17138788E-04  -2.55594409E-05  -1.51626572E-03   2.06902212E-03
   2.41376325E-02    2   1.33797587E-04  -1.30790429E-04  -2.94778084E-04   3.12306160E-04
   2.41376325E-02    3   2.52616273E-05   1.10991484E-05  -8.29026821E-05  -8.74669834E-06
   2.41376325E-02    4   1.33714644E-05   9.72149464E-06  -1.02335183E-04   9.34154681E-05
   2.41376325E-02    5  -2.12187034E-05  -1.96550731E-05   3.13842695E-05   4.57626687E-05
   2.41376325E-02    6  -2.04560382E-05  -2.17219048E-05   3.93494612E-05   4.61077586E-05
   2.41376325E-02    7  -1.26174702E-06  -1.29315198E-06   1.00236845E-05   1.25404123E-05
   2.41376325E-02    8  -4.72369427E-06  -3.60006731E-06   8.89675336E-06   7.35723582E-06
   2.41376325E-02    9   1.73791614E-06   1.00987152E-06   1.56271189E-07   1.21080210E-06
   2.41376325E-02   10  -2.90699297E-06  -1.27170443E-06   4.01091069E-06   2.44565312E-06
   2.41376325E-02   11   5.22021911E-07  -3.81877001E-07   8.48118392E-07   1.88108014E-06
   2.41376325E-02   12  -1.65569867E-06  -4.60963943E-07   2.55056037E-06   1.67812427E-06
   2.41376325E-02   13  -2.16832164E-07  -8.39909963E-07   1.34967297E-06   2.29580423E-06
   2.41376325E-02   14  -1.05831158E-06  -5.53415838E-07   2.03979068E-06   1.95317827E-06
