
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    302, psi = 1.632E-03, q =  1.430

   is    psifac      dpsi        q       singfac     eval1

  302  1.632E-03  2.075E-05  1.430E+00  5.703E-01  8.553E-02
  303  1.632E-03  1.000E-07  1.430E+00  5.703E-01  8.553E-02
  304  1.632E-03  1.000E-07  1.430E+00  5.703E-01  8.554E-02
  305  1.635E-03  2.742E-06  1.430E+00  5.703E-01  8.569E-02
  306  1.638E-03  2.742E-06  1.430E+00  5.703E-01  8.584E-02
  307  1.641E-03  2.742E-06  1.430E+00  5.703E-01  8.600E-02
  308  1.650E-03  9.373E-06  1.430E+00  5.703E-01  8.652E-02
  309  1.659E-03  9.373E-06  1.430E+00  5.703E-01  8.704E-02
  310  1.669E-03  9.373E-06  1.430E+00  5.703E-01  8.756E-02
  311  1.678E-03  9.373E-06  1.430E+00  5.703E-01  8.808E-02
  312  1.689E-03  1.086E-05  1.430E+00  5.703E-01  8.869E-02
  313  1.700E-03  1.086E-05  1.430E+00  5.703E-01  8.929E-02
  314  1.711E-03  1.086E-05  1.430E+00  5.703E-01  8.989E-02
  315  1.722E-03  1.086E-05  1.430E+00  5.703E-01  9.050E-02
  316  1.732E-03  1.086E-05  1.430E+00  5.703E-01  9.110E-02
  317  1.750E-03  1.720E-05  1.430E+00  5.703E-01  9.206E-02
  318  1.767E-03  1.720E-05  1.430E+00  5.703E-01  9.302E-02
  319  1.784E-03  1.720E-05  1.430E+00  5.703E-01  9.397E-02
  320  1.801E-03  1.720E-05  1.430E+00  5.703E-01  9.493E-02
  321  1.818E-03  1.720E-05  1.430E+00  5.703E-01  9.588E-02
  322  1.840E-03  2.170E-05  1.430E+00  5.703E-01  9.709E-02
  323  1.862E-03  2.170E-05  1.430E+00  5.703E-01  9.830E-02
  324  1.884E-03  2.170E-05  1.430E+00  5.703E-01  9.950E-02
  325  1.905E-03  2.170E-05  1.430E+00  5.703E-01  1.007E-01
  326  1.927E-03  2.170E-05  1.430E+00  5.703E-01  1.019E-01
  327  1.949E-03  2.170E-05  1.430E+00  5.703E-01  1.031E-01
  328  1.981E-03  3.193E-05  1.430E+00  5.703E-01  1.049E-01
  329  2.012E-03  3.193E-05  1.430E+00  5.703E-01  1.067E-01
  330  2.044E-03  3.193E-05  1.430E+00  5.703E-01  1.084E-01
  331  2.076E-03  3.193E-05  1.430E+00  5.703E-01  1.102E-01
  332  2.108E-03  3.193E-05  1.430E+00  5.703E-01  1.120E-01
  333  2.140E-03  3.193E-05  1.430E+00  5.703E-01  1.138E-01
  334  2.172E-03  3.193E-05  1.430E+00  5.703E-01  1.155E-01
  335  2.204E-03  3.193E-05  1.430E+00  5.703E-01  1.173E-01
